Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
6;binary;baseline;kernel.c:15-18;Innermost;11.29;2.42;0.24;
7;binary;baseline;kernel.c:14-18;Outermost;0.08;0.02;0.21;
1;binary;main;driver.c:57-58;Innermost;0.00;0.00;1.00;
