Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
__ieee754_exp_fma;libm-2.27.so;;80.52;6.78;0.29;
exp;libm-2.27.so;;8.55;0.72;0.87;
baseline;binary;kernel.c:224;3.33;0.28;1.39;
__truncf_c;libm-2.27.so;;2.38;0.20;6.67;
lgamma;libm-2.27.so;;1.66;0.14;6.46;
@plt_start@;binary;;1.66;0.14;0.85;
@plt;libm-2.27.so;;1.43;0.12;4.97;
hrtimer_interrupt;SYSTEM CALL;;0.24;0.02;0.00;
run_timer_softirq;SYSTEM CALL;;0.24;0.02;0.00;
