unroll info;unroll confidence level;unroll loop type;unroll factor;RecMII;RecMII (best case for DIV/SQRT);comp_str;comp_opts;cycles L1;cycles L1 (best case for DIV/SQRT);cycles L1 if clean;cycles L1 (best case for DIV/SQRT) if clean;cycles L1 if FP arith vectorized;cycles L1 (best case for DIV/SQRT) if FP arith vectorized;cycles L1 if fully vectorized;cycles L1 (best case for DIV/SQRT) if fully vectorized;cycles L1 if no deps;cycles L1 (best case for DIV/SQRT) if no deps;cycles L1 if hitting next bottleneck;cycles L1 (best case for DIV/SQRT) if hitting next bottleneck;bottlenecks;cycles front end;cycles dispatch;cycles P0;cycles P1;cycles P2;cycles P3;cycles P4;cycles P5;cycles P6;cycles P7;uops P0;uops P1;uops P2;uops P3;uops P4;uops P5;uops P6;uops P7;cycles div sqrt max;cycles div sqrt min;nb instructions;nb uops;nb pure loads;nb impl loads;nb stores;nb stack references;nb total FP operations;nb FP add-sub operations;nb FP mul operations;nb FP div operations;nb FP sqrt operations;nb FP other operations;FP operations per cycle L1;bytes loaded or stored per cycle L1;bytes loaded or stored per cycle L1 (best case for DIV/SQRT);bytes prefetched;bytes loaded;bytes stored;packed ratio all;packed ratio load;packed ratio store;packed ratio mul;packed ratio add_sub;packed ratio other;vec eff ratio all;vec eff ratio load;vec eff ratio store;vec eff ratio mul;vec eff ratio add_sub;vec eff ratio other;stride_0;stride_1;stride_n;stride_unknown;stride_indirect;ID;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 8.3.0 -mtune=generic -march=x86-64 -g -O2 -fopenmp;NA;7;7;7;7;2.375;2.375;1.125;1.125;NA;NA;4.5;4.5;P0, P1, ;4.5;7;7;7;1.1666666666667;0.83333333333333;2;4.5;4.5;1;7;7;1.1666666666667;0.83333333333333;2;4.5;4.5;1;0;0;25;27;0;1;2;0;11;1;10;0;0;0;1.57, 1.57, ;2.8571428571429;2.8571428571429;0;4;16;10.526315789474;0;0;0;0;33.333333333333;21.052631578947;12.5;25;15;25;29.166666666667;0;0;1;1;0;7;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 8.3.0 -mtune=generic -march=x86-64 -g -O2 -fopenmp;NA;7;7;7;7;2.375;2.375;1.125;1.125;NA;NA;4;4;P0, P1, ;4;7;7;7;1;1;1;3.5;3.5;1;7;7;1;1;1;3.5;3.5;1;0;0;23;24;1;1;1;0;11;1;10;0;0;0;1.57, 1.57, ;2.8571428571429;2.8571428571429;0;12;8;5.5555555555556;0;0;0;0;20;19.444444444444;18.75;25;15;25;25;0;1;0;1;0;7;
