Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
8;binary;baseline;kernel.c:151-166;Innermost;98.30;7.50 [1397];7.50 [1397];7.50;
6;binary;baseline;kernel.c:151-161;Single;1.31;0.10 [1397];0.10 [1397];0.10;
7;binary;baseline;kernel.c:151-169;Outermost;0.39;0.03 [1397];0.03 [1397];0.03;
