Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
baseline;binary;kernel.c:157;99.87;7.62 [1397];7.62 [1397];7.62;
Unknown functions;binary;;0.00;0.00 [1397];0.00 [1397];0.00;
apic_timer_interrupt;SYSTEM CALL;;0.00;0.00 [1397];0.00 [1397];0.00;
timekeeping_advance;SYSTEM CALL;;0.00;0.00 [1397];0.00 [1397];0.00;
random_r;libc-2.28.so;;0.00;0.00 [1397];0.00 [1397];0.00;
random;libc-2.28.so;;0.00;0.00 [1397];0.00 [1397];0.00;
ktime_get;SYSTEM CALL;;0.00;0.00 [1397];0.00 [1397];0.00;
unmap_page_range;SYSTEM CALL;;0.00;0.00 [1397];0.00 [1397];0.00;
run_timer_softirq;SYSTEM CALL;;0.00;0.00 [1397];0.00 [1397];0.00;
