Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
__ieee754_exp_fma;libm-2.27.so;;80.99;6.90 [1201];6.90 [1201];6.90;
exp;libm-2.27.so;;10.09;0.86 [1201];0.86 [1201];0.86;
baseline;binary;kernel4.c:6;3.52;0.30 [1201];0.30 [1201];0.30;
__truncf_c;libm-2.27.so;;2.35;0.20 [1201];0.20 [1201];0.20;
lgamma;libm-2.27.so;;1.17;0.10 [1201];0.10 [1201];0.10;
@plt;libm-2.27.so;;0.94;0.08 [1201];0.08 [1201];0.08;
@plt_start@;binary;;0.94;0.08 [1201];0.08 [1201];0.08;
