unroll info;unroll confidence level;unroll loop type;unroll factor;RecMII;RecMII (best case for DIV/SQRT);comp_str;comp_opts;cycles L1;cycles L1 (best case for DIV/SQRT);cycles L1 if clean;cycles L1 (best case for DIV/SQRT) if clean;cycles L1 if FP arith vectorized;cycles L1 (best case for DIV/SQRT) if FP arith vectorized;cycles L1 if fully vectorized;cycles L1 (best case for DIV/SQRT) if fully vectorized;cycles L1 if no deps;cycles L1 (best case for DIV/SQRT) if no deps;cycles L1 if hitting next bottleneck;cycles L1 (best case for DIV/SQRT) if hitting next bottleneck;bottlenecks;cycles front end;cycles dispatch;cycles P0;cycles P1;cycles P2;cycles P3;cycles P4;cycles P5;cycles P6;cycles P7;uops P0;uops P1;uops P2;uops P3;uops P4;uops P5;uops P6;uops P7;cycles div sqrt max;cycles div sqrt min;nb instructions;nb uops;nb pure loads;nb impl loads;nb stores;nb stack references;nb total FP operations;nb FP add-sub operations;nb FP mul operations;nb FP div operations;nb FP sqrt operations;nb FP other operations;FP operations per cycle L1;bytes loaded or stored per cycle L1;bytes loaded or stored per cycle L1 (best case for DIV/SQRT);bytes prefetched;bytes loaded;bytes stored;packed ratio all;packed ratio load;packed ratio store;packed ratio mul;packed ratio add_sub;packed ratio other;vec eff ratio all;vec eff ratio load;vec eff ratio store;vec eff ratio mul;vec eff ratio add_sub;vec eff ratio other;stride_0;stride_1;stride_n;stride_unknown;stride_indirect;ID;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 8.3.0 -mtune=generic -march=x86-64 -g -O2 -fopenmp;NA;6;6;2.5;2.5;4.5;4.5;1.25;1.25;NA;NA;3.8333333333333;3.8333333333333;P4, ;3.3333333333333;6;3;2.75;3.8333333333333;3.5;6;2.75;2.5;3.6666666666667;3;2.75;3.8333333333333;3.5;6;2.75;2.5;3.6666666666667;0;0;19;20;1;4;4;0;2;0;2;0;0;0;0.33, 0.33, ;10.666666666667;10.666666666667;0;32;32;16.666666666667;0;0;0;NA;40;27.083333333333;20;25;25;NA;30;1;0;0;3;0;7;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 8.3.0 -mtune=generic -march=x86-64 -g -O2 -fopenmp;NA;4;4;2.5;2.5;2.5;2.5;0.75;0.75;NA;NA;3;3;P4, ;2.8333333333333;4;3;2.75;2.6666666666667;2.6666666666667;4;2.75;2.5;2.6666666666667;3;2.75;2.6666666666667;2.6666666666667;4;2.75;2.5;2.6666666666667;0;0;16;17;0;4;2;0;2;0;2;0;0;0;0.50, 0.50, ;10;10;0;24;16;22.222222222222;0;0;0;NA;40;27.777777777778;18.75;25;25;NA;30;0;1;0;2;0;7;
