Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
6;binary;baseline;kernel.c:16-19;Innermost;10.79;22.89 [2215];22.89 [2215];22.89;
7;binary;baseline;kernel.c:13-19;Outermost;0.08;0.17 [2215];0.17 [2215];0.17;
0;binary;main;driver.c:56-57;Innermost;0.00;0.01 [2215];0.01 [2215];0.01;
