Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
6;binary;baseline;kernel.c:90-93;Innermost;29.11;2.89 [1255];2.89 [1255];2.89;
7;binary;baseline;kernel.c:87-93;Outermost;0.20;0.02 [1255];0.02 [1255];0.02;
3;binary;main;driver.c:14-15;Innermost;0.00;0.00 [1255];0.00 [1255];0.00;
