Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
7;binary;baseline;;Innermost;19.83;8.14;0.27;
6;binary;baseline;;InBetween;3.88;1.59;0.30;
9;binary;baseline;;Innermost;0.23;0.09;0.29;
8;binary;baseline;;Outermost;0.09;0.04;0.40;
0;binary;main;driver.c:56-57;Innermost;0.05;0.02;0.69;
