unroll info;unroll confidence level;unroll loop type;unroll factor;RecMII;RecMII (best case for DIV/SQRT);comp_str;comp_opts;cycles L1;cycles L1 (best case for DIV/SQRT);cycles L1 if clean;cycles L1 (best case for DIV/SQRT) if clean;cycles L1 if FP arith vectorized;cycles L1 (best case for DIV/SQRT) if FP arith vectorized;cycles L1 if fully vectorized;cycles L1 (best case for DIV/SQRT) if fully vectorized;cycles L1 if no deps;cycles L1 (best case for DIV/SQRT) if no deps;cycles L1 if hitting next bottleneck;cycles L1 (best case for DIV/SQRT) if hitting next bottleneck;bottlenecks;cycles front end;cycles dispatch;cycles P0;cycles P1;cycles P2;cycles P3;cycles P4;cycles P5;cycles P6;cycles P7;uops P0;uops P1;uops P2;uops P3;uops P4;uops P5;uops P6;uops P7;cycles div sqrt max;cycles div sqrt min;nb instructions;nb uops;nb pure loads;nb impl loads;nb stores;nb stack references;nb total FP operations;nb FP add-sub operations;nb FP mul operations;nb FP div operations;nb FP sqrt operations;nb FP other operations;FP operations per cycle L1;bytes loaded or stored per cycle L1;bytes loaded or stored per cycle L1 (best case for DIV/SQRT);bytes prefetched;bytes loaded;bytes stored;packed ratio all;packed ratio load;packed ratio store;packed ratio mul;packed ratio add_sub;packed ratio other;vec eff ratio all;vec eff ratio load;vec eff ratio store;vec eff ratio mul;vec eff ratio add_sub;vec eff ratio other;stride_0;stride_1;stride_n;stride_unknown;stride_indirect;ID;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 7.3.0 -mtune=generic -march=x86-64 -g -O3 -funroll-loops -fstack-protector-strong;NA;3;3;2.25;2.25;1.725;1.725;0.4875;0.4875;NA;NA;2;2;micro-operation queue, ;3;2;2;2;1.3333333333333;1.3333333333333;2;2;2;1.3333333333333;2;2;1.3333333333333;1.3333333333333;2;2;2;1.3333333333333;0;0;10;12;0;2;1;1;1;0;1;0;0;0;0.33, 0.33, ;6.6666666666667;6.6666666666667;0;12;8;20;0;0;0;NA;33.333333333333;27.5;18.75;25;25;NA;29.166666666667;1;1;0;0;0;6;
not unrolled or unrolled with no peel/tail loop;max;NA;NA;1;1;GNU 7.3.0 -mtune=generic -march=x86-64 -g -O3 -funroll-loops -fstack-protector-strong;NA;6;6;3.5;3.5;3.9;3.9;1.05;1.05;NA;NA;5;5;micro-operation queue, ;6;5;3.5;3.5;3.5;3.1666666666667;5;3.5;3.5;3.3333333333333;3.5;3.5;3.5;3.1666666666667;5;3.5;3.5;3.3333333333333;0;0;20;24;1;4;3;1;2;0;2;0;0;0;0.33, 0.33, ;9.3333333333333;9.3333333333333;0;32;24;16.666666666667;0;0;0;NA;33.333333333333;27.083333333333;20;25;25;NA;29.166666666667;2;0;1;0;0;6;
