Function Name;Module;Source Info;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
__expf_fma;libm-2.27.so;;56.30;1.34 [1279];1.34 [1279];1.34;
baseline;binary;kernel6.c:6;34.45;0.82 [1279];0.82 [1279];0.82;
__exp2f_fma;libm-2.27.so;;9.24;0.22 [1279];0.22 [1279];0.22;
