Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
7;binary;baseline;kernel6.c:10-11;Innermost;33.61;0.80;0.28;
8;binary;baseline;kernel6.c:6-11;Outermost;0.84;0.02;0.14;
