Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
7;binary;baseline;kernel6.c:10-11;Innermost;33.61;0.80 [1279];0.80 [1279];0.80;
8;binary;baseline;kernel6.c:6-11;Outermost;0.84;0.02 [1279];0.02 [1279];0.02;
