Loop ID;Module;Function Name;Source Info;Level;Time %;Time (s);CPI ratio;
8;binary;baseline;kernel.c:225-229;Innermost;5.95;0.50;1.59;
7;binary;baseline;kernel.c:222-229;Outermost;0.24;0.02;12.00;
