Function Name;Module;Source Info;Time %;Time(s);CPI ratio;
__ieee754_exp_fma;libm-2.27.so;;80.00;6.72;0.28;
exp;libm-2.27.so;;10.48;0.88;1.27;
baseline;binary;kernel.c:224;6.19;0.52;1.62;
lgamma;libm-2.27.so;;1.67;0.14;3.82;
__truncf_c;libm-2.27.so;;1.43;0.12;4.11;
@plt_start@;binary;;0.24;0.02;2.40;
