Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
6;binary;baseline;kernel.c:185-188;Innermost;10.76;2.30 [1025];2.30 [1025];2.30;
7;binary;baseline;kernel.c:182-188;Outermost;0.05;0.01 [1025];0.01 [1025];0.01;
1;binary;main;driver.c:57-58;Innermost;0.00;0.00 [1025];0.00 [1025];0.00;
