Loop ID;Module;Function Name;Source Info;Level;Time Average (%);Time Min(s) [TID];Time Max(s) [TID];Time Average(s);
6;binary;baseline;kernel.c:73-76;Innermost;10.85;2.32 [1209];2.32 [1209];2.32;
7;binary;baseline;kernel.c:70-76;Outermost;0.05;0.01 [1209];0.01 [1209];0.01;
3;binary;main;driver.c:14-15;Innermost;0.00;0.00 [1209];0.00 [1209];0.00;
